  日期        ,浦东  ,黄浦  ,静安  ,徐汇  ,长宁  ,普陀  ,虹口  ,杨浦  ,宝山  ,闵行  ,嘉定  ,金山  ,松江  ,青浦  ,奉贤  ,崇明  
  2022-03-01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
  2022-03-02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
  2022-03-03,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
  2022-03-04,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
  2022-03-05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
  2022-03-06,   1,   0,   0,   2,null,   0,null,null,   0,   0,   0,null,   0,null,   0,null
  2022-03-07,   0,null,null,   3,null,   1,   0,null,   0,   0,   0,   0,   0,null,null,null
  2022-03-08,   0,null,   1,   0,   0,   0,null,null,   0,   1,   1,null,   0,   0,null,null
  2022-03-09,   1,   0,   1,   0,   0,   0,   1,   0,   0,   1,   0,null,   0,null,   0,null
  2022-03-10,   4,   0,   0,   0,   0,   0,   2,null,   0,   2,   1,null,   0,   1,null,null
  2022-03-11,   0,   0,   0,   2,   0,   0,   0,null,   2,   0,   1,   0,   0,   0,   0,null
  2022-03-12,   0,   0,   0,   0,   0,null,null,null,   0,   0,   0,   0,   0,null,null,null
  2022-03-13,   0,   0,null,null,   1,   0,   0,null,   0,   3,   1,   1,   0,null,null,null
  2022-03-14,   1,   2,   0,   2,   0,null,   1,   0,   0,   2,   0,   0,   1,null,   0,null
  2022-03-15,   2,   0,   0,   1,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   1,null
  2022-03-16,   0,   1,   0,   2,   0,   0,   0,   0,   0,   1,   4,null,   0,   0,   0,null
  2022-03-17,  24,   8,   1,   8,   0,   1,   1,   0,   5,   4,   5,   0,   0,   0,   0,   0
  2022-03-18,   2,   0,   0,   1,   0,   0,null,   0,   1,   1,   0,   2,   1,   0,   0,null
  2022-03-19,   8,   0,   0,   0,   0,   0,   1,   0,   1,   4,   2,   0,   0,   0,   0,   1
  2022-03-20,   1,   2,   0,   1,   1,   0,   0,   0,   0,  18,   1,   0,   0,   0,   0,   0
  2022-03-21,   6,   0,   0,   4,   0,   1,   0,   0,   0,  10,   5,   1,   1,   0,   1,   2
